,Unnamed: 0_x,tconst,primary_title,original_title,start_year,runtime_minutes,genres,Action,Crime,Drama,Biography,Comedy,Fantasy,Horror,Thriller,Adventure,Animation,Documentary,History,Mystery,Science Fiction,Romance,Family,War,Music,Sport,Western,Musical,Adult,News,Link,start_year_str,Unnamed: 0_y,Title,Studio,Domestic Gross_x,Foreign Gross,Year_x,Clean Title,Unnamed: 0_x,Average Rating,Number of Votes,Unnamed: 0_y,Movie,Production Budget,Domestic Gross_y,Worldwide Gross,Profit,ROI,Year_y,nameYear
15,126,tt0448694,Puss in Boots,Puss in Boots,2011,90.0,"Action,Adventure,Animation",True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,puss in boots2011,2011,338,Puss in Boots,P/DW,149300000.0,405700000,2011,puss in boots,15308,6.6,133355,245,puss in boots,130000000,149260504,554987477,424987477,4.269134438461538,2011,puss in boots2011
16,131,tt0451279,Wonder Woman,Wonder Woman,2017,141.0,"Action,Adventure,Fantasy",True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,wonder woman2017,2017,2767,Wonder Woman,WB,412600000.0,409300000,2017,wonder woman,8686,7.5,487527,154,wonder woman,150000000,412563408,821133378,671133378,5.47422252,2017,wonder woman2017
17,136,tt0454876,Life of Pi,Life of Pi,2012,127.0,"Adventure,Drama,Fantasy",False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,life of pi2012,2012,737,Life of Pi,Fox,125000000.0,484000000,2012,life of pi,52442,7.9,535836,287,life of pi,120000000,124987022,620912003,500912003,5.174266691666666,2012,life of pi2012
18,138,tt0455407,The Crazies,The Crazies,2010,101.0,"Horror,Thriller",False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,the crazies2010,2010,100,The Crazies,Over.,39100000.0,15700000,2010,the crazies,53609,6.5,104465,2735,the crazies,19000000,39123589,56445534,37445534,2.9708175789473685,2010,the crazies2010
19,139,tt0455944,The Equalizer,The Equalizer,2014,132.0,"Action,Crime,Thriller",True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,the equalizer2014,2014,1520,The Equalizer,Sony,101500000.0,90800000,2014,the equalizer,66314,7.2,302302,995,the equalizer,55000000,101530738,192903624,137903624,3.507338618181818,2014,the equalizer2014
20,141,tt0458339,Captain America: The First Avenger,Captain America: The First Avenger,2011,124.0,"Action,Adventure,Sci-Fi",True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,captain america the first avenger2011,2011,344,Captain America: The First Avenger,Par.,176700000.0,193900000,2011,captain america the first avenger,71372,6.9,668137,209,captain america the first avenger,140000000,176654505,370569776,230569776,2.6469269714285715,2011,captain america the first avenger2011
21,159,tt0464154,Piranha 3D,Piranha 3D,2010,88.0,"Comedy,Horror",False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,piranha 3d2010,2010,73,Piranha 3D,W/Dim.,25000000.0,58200000,2010,piranha 3d,16097,5.4,81327,2351,piranha 3d,24000000,25003155,83660160,59660160,3.48584,2010,piranha 3d2010
22,165,tt0466893,Margaret,Margaret,2011,150.0,Drama,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,margaret2011,2011,696,Margaret,FoxS,46500.0,,2011,margaret,44337,6.5,14708,3226,margaret,14000000,47185,623292,-13376708,0.04452085714285714,2011,margaret2011
23,172,tt0471042,Tower Heist,Tower Heist,2011,104.0,"Action,Comedy,Crime",True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,tower heist2011,2011,375,Tower Heist,Uni.,78000000.0,74900000,2011,tower heist,9821,6.2,125102,504,tower heist,85000000,78046570,150422946,65422946,1.7696817176470587,2011,tower heist2011
24,173,tt0472181,The Smurfs,The Smurfs,2011,103.0,"Adventure,Animation,Comedy",False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,the smurfs2011,2011,336,The Smurfs,Sony,142600000.0,421100000,2011,the smurfs,9822,5.5,77577,319,the smurfs,110000000,142614158,563749323,453749323,5.124993845454545,2011,the smurfs2011
25,174,tt0472399,The Mechanic,The Mechanic,2011,93.0,"Action,Crime,Thriller",True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,the mechanic2011,2011,413,The Mechanic,CBS,29100000.0,47000000,2011,the mechanic,24158,6.6,141254,1341,the mechanic,42500000,29121498,76347393,33847393,1.7964092470588235,2011,the mechanic2011
26,181,tt0475290,"Hail, Caesar!","Hail, Caesar!",2016,106.0,"Comedy,Drama,Music",False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,hail caesar2016,2016,2422,"Hail, Caesar!",Uni.,30500000.0,33100000,2016,hail caesar,15310,6.3,111422,2421,hail caesar,22000000,30080225,64160680,42160680,2.916394545454545,2016,hail caesar2016
27,185,tt0477080,Unstoppable,Unstoppable,2010,98.0,"Action,Thriller",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,unstoppable2010,2010,43,Unstoppable,Fox,81600000.0,86200000,2010,unstoppable,9823,6.8,173019,418,unstoppable,95000000,81562942,165720921,70720921,1.7444307473684209,2010,unstoppable2010
28,188,tt0478304,The Tree of Life,The Tree of Life,2011,139.0,"Drama,Fantasy",False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,the tree of life2011,2011,430,The Tree of Life,FoxS,13300000.0,41000000,2011,the tree of life,16098,6.8,156266,1723,the tree of life,35000000,13305665,61721826,26721826,1.7634807428571428,2011,the tree of life2011
