,Unnamed: 0,Genre_Ids,Id,Original_Language,Original_Title,Popularity,Release_Date,Title,Vote_Average,Vote_Count,Clean Title,Year,Link
6274,6274,[35],150787,en,Busty Housewives of Beverly Hills,1.53,2012-05-15,Busty Housewives of Beverly Hills,5.3,4,busty housewives of beverly hills,2012,busty housewives of beverly hills2012
6275,6275,[27],160897,fr,Barrio Tales,1.521,2012-01-12,Barrio Tales,4.1,8,barrio tales,2012,barrio tales2012
6276,6276,"[99, 10402]",116835,en,Pink Floyd: The Story of Wish You Were Here,1.52,2012-06-26,Pink Floyd: The Story of Wish You Were Here,7.3,11,pink floyd the story of wish you were here,2012,pink floyd the story of wish you were here2012
6278,6278,[35],129415,en,Katt Williams: Kattpacalypse,1.517,2012-08-25,Katt Williams: Kattpacalypse,5.9,8,katt williams kattpacalypse,2012,katt williams kattpacalypse2012
6279,6279,"[35, 80]",120798,en,The Hot Potato,1.515,2012-08-03,The Hot Potato,6.3,7,the hot potato,2012,the hot potato2012
6280,6280,"[18, 10749]",267677,en,Shabbat Dinner,1.5090000000000001,2012-06-16,Shabbat Dinner,7.3,4,shabbat dinner,2012,shabbat dinner2012
6283,6283,[18],96092,en,Pavilion,1.4980000000000002,2012-03-12,Pavilion,6.6,5,pavilion,2012,pavilion2012
6284,6284,"[18, 9648]",126749,en,Travelling Salesman,1.4980000000000002,2012-06-16,Travelling Salesman,5.7,20,travelling salesman,2012,travelling salesman2012
6285,6285,"[18, 27]",278771,en,Infliction,1.4969999999999999,2012-01-01,Infliction,4.8,5,infliction,2012,infliction2012
6286,6286,[53],81010,en,Ticket Out,1.495,2012-09-28,Ticket Out,5.3,16,ticket out,2012,ticket out2012
6287,6287,[35],146837,en,Jim Jefferies: Fully Functional,1.494,2012-10-30,Jim Jefferies: Fully Functional,7.6,32,jim jefferies fully functional,2012,jim jefferies fully functional2012
6288,6288,[16],125445,en,Serenade,1.4909999999999999,2012-08-07,Serenade,4.8,6,serenade,2012,serenade2012
6290,6290,[53],94841,en,Cell Count,1.485,2012-05-20,Cell Count,4.4,9,cell count,2012,cell count2012
6291,6291,"[99, 36]",111173,en,Time Zero: The Last Year of Polaroid Film,1.484,2012-04-28,Time Zero: The Last Year of Polaroid Film,6.3,5,time zero the last year of polaroid film,2012,time zero the last year of polaroid film2012
6292,6292,[35],120990,en,Jim Norton: Please Be Offended,1.482,2012-06-30,Jim Norton: Please Be Offended,6.6,9,jim norton please be offended,2012,jim norton please be offended2012
6293,6293,[35],147276,en,Jay and Silent Bob Go Down Under,1.4780000000000002,2012-11-30,Jay and Silent Bob Go Down Under,5.0,10,jay and silent bob go down under,2012,jay and silent bob go down under2012
6294,6294,[18],84316,en,My Brother the Devil,1.474,2012-01-22,My Brother the Devil,7.0,26,my brother the devil,2012,my brother the devil2012
6295,6295,"[18, 10752]",82206,en,Battle Force,1.474,2012-07-01,Battle Force,2.8,14,battle force,2012,battle force2012
6296,6296,"[27, 9648, 53]",77785,en,Madison County,1.473,2012-05-08,Madison County,3.8,24,madison county,2012,madison county2012
6297,6297,"[12, 35, 10751, 14]",129357,de,Yoko,1.4680000000000002,2012-02-16,Yoko,5.8,8,yoko,2012,yoko2012
6298,6298,"[99, 36]",189215,en,The Untold History of the United States,1.463,2012-11-12,The Untold History of the United States,8.3,34,the untold history of the united states,2012,the untold history of the united states2012
6299,6299,"[16, 36]",283146,en,This Land Is Mine,1.456,2012-07-22,This Land Is Mine,6.5,7,this land is mine,2012,this land is mine2012
6300,6300,[99],96556,en,Hit So Hard,1.455,2012-04-20,Hit So Hard,5.8,8,hit so hard,2012,hit so hard2012
6301,6301,[99],97470,en,The Announcement,1.454,2012-03-11,The Announcement,6.4,8,the announcement,2012,the announcement2012
6302,6302,[99],85822,en,Free Radicals: A History of Experimental Film,1.453,2012-08-03,Free Radicals: A History of Experimental Film,7.7,3,free radicals a history of experimental film,2012,free radicals a history of experimental film2012
6303,6303,"[18, 10751]",128540,en,The Encounter: Paradise Lost,1.446,2012-09-18,The Encounter: Paradise Lost,4.7,16,the encounter paradise lost,2012,the encounter paradise lost2012
6304,6304,[878],123337,en,Sight,1.444,2012-07-27,Sight,6.7,17,sight,2012,sight2012
6305,6305,"[18, 10749]",94360,en,Soda Springs,1.443,2012-03-27,Soda Springs,5.7,3,soda springs,2012,soda springs2012
6306,6306,[27],203890,en,2 Hours,1.4409999999999998,2012-09-29,2 Hours,3.2,5,2 hours,2012,2 hours2012
6307,6307,"[10751, 14]",151478,de,Die Vampirschwestern,1.4340000000000002,2012-12-30,Vampire Sisters,6.3,54,vampire sisters,2012,vampire sisters2012
6308,6308,[35],111250,en,Bobcat Goldthwait: You Don't Look the Same Either,1.4340000000000002,2012-04-03,Bobcat Goldthwait: You Don't Look the Same Either,5.7,10,bobcat goldthwait you dont look the same either,2012,bobcat goldthwait you dont look the same either2012
6309,6309,[37],83007,en,Comin' at Ya!,1.433,2012-12-24,Comin' at Ya!,3.8,5,comin at ya,2012,comin at ya2012
6310,6310,[53],171952,en,Teenage Bank Heist,1.429,2012-11-09,Teenage Bank Heist,5.7,11,teenage bank heist,2012,teenage bank heist2012
6311,6311,[18],147656,fr,Ombline,1.4269999999999998,2012-11-17,Ombline,7.1,14,ombline,2012,ombline2012
6312,6312,"[18, 10749]",225832,en,Birthday Sex,1.423,2012-10-05,Birthday Sex,5.1,8,birthday sex,2012,birthday sex2012
6313,6313,"[27, 53]",145198,en,Bigfoot County,1.423,2012-12-11,Bigfoot County,3.3,8,bigfoot county,2012,bigfoot county2012
6314,6314,[35],140814,en,Elliot Loves,1.421,2012-05-04,Elliot Loves,7.0,4,elliot loves,2012,elliot loves2012
6315,6315,[99],95383,en,$ellebrity,1.42,2013-01-11,$ellebrity,5.6,12,ellebrity,2013,ellebrity2013
6316,6316,"[9648, 53, 80]",174808,fr,Last Hours in Suburbia,1.409,2012-09-21,Last Hours in Suburbia,5.8,13,last hours in suburbia,2012,last hours in suburbia2012
6317,6317,[18],87434,en,Welcome to Pine Hill,1.4080000000000001,2012-03-01,Welcome to Pine Hill,6.6,5,welcome to pine hill,2012,welcome to pine hill2012
6318,6318,[10402],140405,en,Coldplay: Live 2012,1.4069999999999998,2012-11-13,Coldplay: Live 2012,8.0,24,coldplay live 2012,2012,coldplay live 20122012
6321,6321,[99],90603,en,Beauty Is Embarrassing,1.4,2012-09-07,Beauty Is Embarrassing,8.1,9,beauty is embarrassing,2012,beauty is embarrassing2012
6322,6322,[10402],199127,it,Pat Metheny - The Orchestrion Project,1.4,2012-09-24,Pat Metheny - The Orchestrion Project,8.0,2,pat metheny  the orchestrion project,2012,pat metheny  the orchestrion project2012
6323,6323,[99],137923,en,NWR,1.4,2012-09-30,NWR,7.9,7,nwr,2012,nwr2012
6324,6324,"[36, 99]",105556,en,Heist: Who Stole the American Dream?,1.4,2012-03-02,Heist: Who Stole the American Dream?,7.5,2,heist who stole the american dream,2012,heist who stole the american dream2012
6325,6325,[99],136157,en,Broke,1.4,2012-10-02,Broke,7.3,3,broke,2012,broke2012
6326,6326,"[10749, 18]",133519,en,Boys Are Us,1.4,2012-10-17,Boys Are Us,7.0,1,boys are us,2012,boys are us2012
6327,6327,"[35, 10749]",84262,en,Exit Strategy,1.4,2012-02-10,Exit Strategy,7.0,1,exit strategy,2012,exit strategy2012
6328,6328,[99],89750,en,"Pink Ribbons, Inc.",1.4,2012-04-21,"Pink Ribbons, Inc.",6.8,6,pink ribbons inc,2012,pink ribbons inc2012
6329,6329,[99],105787,en,The Woman Who Wasn't There,1.4,2012-04-13,The Woman Who Wasn't There,6.6,23,the woman who wasnt there,2012,the woman who wasnt there2012
6331,6331,"[35, 18]",106530,he,אורחים לרגע,1.4,2012-01-07,Off White Lies,6.5,2,off white lies,2012,off white lies2012
6333,6333,[99],120850,en,Line of Sight,1.4,2012-07-01,Line of Sight,6.3,5,line of sight,2012,line of sight2012
6334,6334,"[35, 27]",159803,en,Him Indoors,1.4,2012-10-13,Him Indoors,6.1,4,him indoors,2012,him indoors2012
6335,6335,[99],144481,en,41,1.4,2012-06-12,41,6.0,2,41,2012,412012
6336,6336,[99],105678,en,God Save My Shoes,1.4,2012-03-30,God Save My Shoes,6.0,2,god save my shoes,2012,god save my shoes2012
6337,6337,[99],100116,de,Margaret Thatcher: The Iron Lady,1.4,2012-04-10,Margaret Thatcher: The Iron Lady,6.0,1,margaret thatcher the iron lady,2012,margaret thatcher the iron lady2012
6338,6338,[18],334204,en,Celia,1.4,2012-10-26,Celia,5.7,3,celia,2012,celia2012
6339,6339,"[10402, 27]",183597,en,1334,1.4,2012-01-29,1334,5.7,3,1334,2012,13342012
6340,6340,[18],169904,sq,Amnistia,1.4,2012-03-28,Amnesty,5.7,3,amnesty,2012,amnesty2012
6341,6341,"[18, 9648, 53]",91316,en,Deadline,1.4,2012-02-15,Deadline,5.5,4,deadline,2012,deadline2012
6343,6343,"[18, 35, 14, 10749]",96316,en,I Kissed a Vampire,1.4,2012-03-30,I Kissed a Vampire,5.3,6,i kissed a vampire,2012,i kissed a vampire2012
6344,6344,[99],90748,en,It’s a Girl!,1.4,2012-09-14,It’s a Girl!,5.3,3,its a girl,2012,its a girl2012
6347,6347,"[18, 35, 53, 99]",102862,en,Informant,1.4,2013-09-13,Informant,4.8,6,informant,2013,informant2013
6348,6348,"[18, 35, 10749, 10751]",82626,en,16-love,1.4,2012-01-20,16-love,4.7,12,16love,2012,16love2012
6349,6349,[16],140974,en,"Goodnight, Mr. Foot",1.4,2012-10-26,"Goodnight, Mr. Foot",4.5,4,goodnight mr foot,2012,goodnight mr foot2012
6350,6350,"[10751, 16]",92640,en,Adventures in Lalaloopsy Land: The Search for Pillow,1.4,2012-03-20,Adventures in Lalaloopsy Land: The Search for Pillow,4.5,5,adventures in lalaloopsy land the search for pillow,2012,adventures in lalaloopsy land the search for pillow2012
6351,6351,[27],40058,de,The Burning Moon,1.4,2012-01-01,The Burning Moon,4.5,13,the burning moon,2012,the burning moon2012
6352,6352,"[53, 35, 80]",358674,en,The Teenie Weenie Bikini Squad,1.4,2012-03-03,The Teenie Weenie Bikini Squad,4.4,4,the teenie weenie bikini squad,2012,the teenie weenie bikini squad2012
6353,6353,"[18, 27, 53]",102313,en,Dead Weight,1.4,2012-03-30,Dead Weight,4.4,10,dead weight,2012,dead weight2012
6354,6354,[99],173423,en,2112,1.4,2012-05-19,2112,4.3,2,2112,2012,21122012
6355,6355,"[53, 18, 27]",296500,en,Bad vs Worse,1.4,2012-10-24,Bad vs Worse,4.2,5,bad vs worse,2012,bad vs worse2012
6356,6356,[53],212731,en,The Unbroken,1.4,2012-09-28,The Unbroken,4.0,7,the unbroken,2012,the unbroken2012
6357,6357,"[18, 28, 53]",105040,en,Road to Hell,1.4,2012-11-14,Road to Hell,3.9,4,road to hell,2012,road to hell2012
6358,6358,"[27, 53]",208225,en,Lost Lake,1.4,2012-10-26,Lost Lake,3.6,6,lost lake,2012,lost lake2012
6359,6359,"[53, 18]",296392,en,Contrition,1.4,2012-09-20,Contrition,3.5,4,contrition,2012,contrition2012
6360,6360,"[27, 53]",136801,en,Back from Hell,1.4,2012-10-16,Back from Hell,3.5,5,back from hell,2012,back from hell2012
6361,6361,[35],94356,en,We the Party,1.4,2012-04-06,We the Party,3.2,5,we the party,2012,we the party2012
6364,6364,"[35, 10751]",111023,en,I Heart Shakey,1.4,2012-06-29,I Heart Shakey,3.0,2,i heart shakey,2012,i heart shakey2012
6365,6365,"[18, 878]",182020,en,Population 2,1.4,2012-01-01,Population 2,2.6,7,population 2,2012,population 22012
6367,6367,[99],83479,en,Ultrasuede: In Search of Halston,1.4,2012-01-20,Ultrasuede: In Search of Halston,2.0,1,ultrasuede in search of halston,2012,ultrasuede in search of halston2012
6368,6368,"[16, 12]",86700,en,The Race Begins,1.4,2012-02-21,Zodiac: The Race Begins...,1.0,2,zodiac the race begins,2012,zodiac the race begins2012
6369,6369,"[18, 10749]",85440,en,The Collector,1.4,2012-06-07,The Collector,0.5,2,the collector,2012,the collector2012
6370,6370,[18],322519,en,Three Veils,1.3969999999999998,2011-04-10,Three Veils,6.0,1,three veils,2011,three veils2011
6371,6371,"[35, 10749]",98557,en,Dysfunctional Friends,1.392,2012-02-03,Dysfunctional Friends,5.3,6,dysfunctional friends,2012,dysfunctional friends2012
6372,6372,"[18, 27, 53]",282670,en,Paranormal Captivity,1.39,2012-09-30,Paranormal Captivity,4.1,8,paranormal captivity,2012,paranormal captivity2012
6374,6374,[99],93103,en,The Last Gladiators,1.3869999999999998,2012-04-22,The Last Gladiators,6.4,14,the last gladiators,2012,the last gladiators2012
6375,6375,"[12, 28, 53, 878]",103696,en,Adventures of Thunderstorm: Return of Thor,1.3869999999999998,2012-05-01,Adventures of Thunderstorm: Return of Thor,2.0,6,adventures of thunderstorm return of thor,2012,adventures of thunderstorm return of thor2012
6376,6376,[18],111326,en,"Joshua Tree, 1951: A Portrait of James Dean",1.3840000000000001,2012-05-23,"Joshua Tree, 1951: A Portrait of James Dean",6.0,6,joshua tree 1951 a portrait of james dean,2012,joshua tree 1951 a portrait of james dean2012
6377,6377,"[10402, 99]",93087,en,Paul Williams Still Alive,1.382,2012-06-08,Paul Williams Still Alive,6.3,8,paul williams still alive,2012,paul williams still alive2012
6379,6379,[18],133470,tl,"Florentina Hubaldo, CTE",1.376,2012-06-17,"Florentina Hubaldo, CTE",7.9,5,florentina hubaldo cte,2012,florentina hubaldo cte2012
6380,6380,"[53, 18]",150126,en,Carmen G,1.376,2012-12-07,Carmen G,7.0,1,carmen g,2012,carmen g2012
6381,6381,[10402],120479,en,Metallica: Orion Music Festival,1.376,2012-06-23,Metallica: Orion Music Festival,6.5,1,metallica orion music festival,2012,metallica orion music festival2012
6382,6382,[99],84173,en,The Atomic States Of America,1.375,2012-01-23,The Atomic States Of America,4.0,1,the atomic states of america,2012,the atomic states of america2012
6383,6383,[99],224414,en,Bound by Flesh,1.371,2012-10-19,Bound by Flesh,6.3,7,bound by flesh,2012,bound by flesh2012
6384,6384,"[18, 28, 80]",312113,en,Black November,1.3659999999999999,2012-12-07,Black November,5.9,5,black november,2012,black november2012
6385,6385,"[18, 10751]",154537,en,Arcadia,1.365,2012-10-13,Arcadia,6.1,11,arcadia,2012,arcadia2012
6386,6386,"[35, 27]",108435,en,Zombie Hamlet,1.365,2012-04-14,Zombie Hamlet,2.9,5,zombie hamlet,2012,zombie hamlet2012
6388,6388,[99],149255,en,You Don't Know Bo: The Legend of Bo Jackson,1.357,2012-12-08,You Don't Know Bo,7.6,14,you dont know bo,2012,you dont know bo2012
6389,6389,[99],117924,en,Somewhere Between,1.357,2012-08-24,Somewhere Between,7.3,6,somewhere between,2012,somewhere between2012
6390,6390,[99],111022,en,Fame High,1.355,2012-04-21,Fame High,6.9,7,fame high,2012,fame high2012
6392,6392,[99],134255,en,The American Scream,1.3519999999999999,2012-10-28,The American Scream,7.1,14,the american scream,2012,the american scream2012
6393,6393,[18],79781,en,The Last Fall,1.351,2012-03-09,The Last Fall,5.9,7,the last fall,2012,the last fall2012
6394,6394,"[53, 18, 14, 27]",100274,en,Comforting Skin,1.348,2012-01-20,Comforting Skin,3.4,7,comforting skin,2012,comforting skin2012
6395,6395,[53],139582,hi,Chakravyuh,1.345,2012-10-24,Chakravyuh,5.8,8,chakravyuh,2012,chakravyuh2012
6396,6396,[99],134413,en,Occupy Unmasked,1.345,2012-09-21,Occupy Unmasked,5.5,6,occupy unmasked,2012,occupy unmasked2012
6397,6397,"[18, 10749]",109894,en,Hide Away,1.345,2012-05-25,Hide Away,5.1,6,hide away,2012,hide away2012
6399,6399,[99],139860,en,Ancient Aliens Debunked,1.338,2012-09-27,Ancient Aliens Debunked,5.7,12,ancient aliens debunked,2012,ancient aliens debunked2012
6400,6400,"[18, 53]",159763,es,A Nanny's Revenge,1.3259999999999998,2012-10-20,A Nanny's Revenge,3.6,4,a nannys revenge,2012,a nannys revenge2012
6401,6401,"[28, 27, 878]",71679,en,Resident Evil: Retribution,1.325,2012-09-14,Resident Evil: Retribution,5.7,2321,resident evil retribution,2012,resident evil retribution2012
6402,6402,"[35, 18]",114591,en,Cheesecake Casserole,1.324,2012-07-03,Cheesecake Casserole,4.0,3,cheesecake casserole,2012,cheesecake casserole2012
6403,6403,"[18, 27, 53]",85646,en,Entrance,1.3219999999999998,2012-05-18,Entrance,4.0,9,entrance,2012,entrance2012
6404,6404,"[35, 99, 18]",96769,en,Nina Conti: Her Master's Voice,1.319,2012-03-11,Nina Conti: Her Master's Voice,8.5,5,nina conti her masters voice,2012,nina conti her masters voice2012
6406,6406,"[99, 12, 18]",133786,de,Where the Trail Ends,1.314,2012-09-19,Where the Trail Ends,7.4,18,where the trail ends,2012,where the trail ends2012
6407,6407,[35],150879,en,Joe Rogan: Live from the Tabernacle,1.3130000000000002,2012-12-18,Joe Rogan: Live from the Tabernacle,6.8,6,joe rogan live from the tabernacle,2012,joe rogan live from the tabernacle2012
6408,6408,"[18, 28, 53]",91155,en,Roller Town,1.3119999999999998,2012-08-14,Roller Town,6.3,6,roller town,2012,roller town2012
6410,6410,[99],240981,en,"Michael Jackson: Life, Death and Legacy",1.306,2012-01-01,"Michael Jackson: Life, Death and Legacy",6.7,6,michael jackson life death and legacy,2012,michael jackson life death and legacy2012
6411,6411,"[16, 35, 10751]",132313,da,Gummi T,1.305,2012-04-16,Ivan the Incredible,5.4,7,ivan the incredible,2012,ivan the incredible2012
6412,6412,[99],84318,lt,Kita svajonių komanda,1.304,2012-09-28,The Other Dream Team,7.5,12,the other dream team,2012,the other dream team2012
6413,6413,"[99, 16, 36]",96750,en,The Crisis of Civilization,1.304,2012-03-27,The Crisis of Civilization,7.5,5,the crisis of civilization,2012,the crisis of civilization2012
6414,6414,"[35, 878]",137669,en,To Boldly Flee,1.291,2012-10-20,To Boldly Flee,6.0,14,to boldly flee,2012,to boldly flee2012
6415,6415,[10751],75956,es,Marcelino Pan y Vino,1.29,2012-10-26,The Miracle of Marcelino,8.2,5,the miracle of marcelino,2012,the miracle of marcelino2012
6416,6416,"[80, 18]",121437,en,An Officer and a Murderer,1.29,2012-07-21,An Officer and a Murderer,5.7,11,an officer and a murderer,2012,an officer and a murderer2012
6417,6417,"[28, 53]",139367,en,The Mark,1.2890000000000001,2012-01-01,The Mark,3.4,8,the mark,2012,the mark2012
6418,6418,"[35, 10751]",144085,en,Chilly Christmas,1.285,2012-11-06,Chilly Christmas,4.3,4,chilly christmas,2012,chilly christmas2012
6419,6419,[99],96088,en,Gregory Crewdson: Brief Encounters,1.2819999999999998,2012-03-01,Gregory Crewdson: Brief Encounters,7.4,11,gregory crewdson brief encounters,2012,gregory crewdson brief encounters2012
6420,6420,"[35, 27]",327165,en,Killer Kart,1.281,2012-10-19,Killer Kart,5.2,5,killer kart,2012,killer kart2012
6421,6421,"[35, 16]",130966,en,So You Want To Be A Pirate!,1.28,2012-07-09,So You Want To Be A Pirate!,6.3,11,so you want to be a pirate,2012,so you want to be a pirate2012
6422,6422,"[10749, 18]",330024,en,Civil Love,1.276,2012-08-07,Civil Love,3.0,2,civil love,2012,civil love2012
6424,6424,[35],329690,en,Comedy Central Roast of Roseanne,1.27,2012-08-12,Comedy Central Roast of Roseanne,6.7,11,comedy central roast of roseanne,2012,comedy central roast of roseanne2012
6425,6425,[99],102855,en,Don’t Stop Believin’: Everyman’s Journey,1.268,2013-03-28,Don’t Stop Believin’: Everyman’s Journey,6.8,18,dont stop believin everymans journey,2013,dont stop believin everymans journey2013
6426,6426,"[53, 27]",366042,en,Creeper,1.268,2012-08-16,Creeper,3.1,5,creeper,2012,creeper2012
6427,6427,"[28, 35]",199982,en,Deadpool: A Typical Tuesday,1.266,2012-06-11,Deadpool: A Typical Tuesday,6.3,13,deadpool a typical tuesday,2012,deadpool a typical tuesday2012
6428,6428,"[27, 878]",211557,en,Vessel,1.266,2012-10-28,Vessel,6.3,13,vessel,2012,vessel2012
6429,6429,"[18, 27, 53]",120698,en,I Am a Ghost,1.265,2012-10-14,I Am a Ghost,5.3,25,i am a ghost,2012,i am a ghost2012
6430,6430,[16],86312,en,Slug Invasion,1.262,2012-01-25,Slug Invasion,6.0,3,slug invasion,2012,slug invasion2012
6432,6432,[27],110792,en,Tell,1.2570000000000001,2012-05-23,Tell,5.8,18,tell,2012,tell2012
6433,6433,"[12, 27, 53]",407638,en,Sunshine Girl and The Hunt For Black Eyed Kids,1.2570000000000001,2012-12-20,Sunshine Girl and The Hunt For Black Eyed Kids,5.0,3,sunshine girl and the hunt for black eyed kids,2012,sunshine girl and the hunt for black eyed kids2012
6434,6434,"[35, 10751]",142303,en,Ira Finkelstein's Christmas,1.256,2012-04-01,Switchmas,5.6,7,switchmas,2012,switchmas2012
6435,6435,[35],126442,en,Alter Egos,1.256,2012-07-20,Alter Egos,5.1,20,alter egos,2012,alter egos2012
6436,6436,"[18, 35]",97683,en,Fat Kid Rules The World,1.255,2012-10-05,Fat Kid Rules The World,6.7,18,fat kid rules the world,2012,fat kid rules the world2012
6437,6437,[18],158589,he,S#x Acts,1.254,2012-10-10,Six Acts,8.0,3,six acts,2012,six acts2012
6438,6438,"[27, 10402]",83404,en,Don't Go in the Woods,1.251,2012-01-13,Don't Go in the Woods,2.5,8,dont go in the woods,2012,dont go in the woods2012
6439,6439,[35],243306,en,The Perfect Wedding,1.25,2012-04-22,The Perfect Wedding,7.2,5,the perfect wedding,2012,the perfect wedding2012
6440,6440,[99],96574,en,Gerhard Richter Painting,1.248,2012-03-14,Gerhard Richter Painting,7.1,9,gerhard richter painting,2012,gerhard richter painting2012
6441,6441,"[18, 28]",312158,en,Born Wild,1.247,2012-10-20,Born Wild,6.9,4,born wild,2012,born wild2012
6442,6442,[35],96087,en,Funeral Kings,1.247,2012-11-16,Funeral Kings,5.9,16,funeral kings,2012,funeral kings2012
6443,6443,[16],185651,en,Sky Force 3D,1.246,2012-09-13,Sky Force 3D,4.0,1,sky force 3d,2012,sky force 3d2012
6444,6444,[27],384084,en,Eaglewalk,1.245,2012-03-12,Eaglewalk,6.8,5,eaglewalk,2012,eaglewalk2012
6445,6445,[53],202537,en,Fatal Call,1.244,2012-11-10,Fatal Call,4.3,9,fatal call,2012,fatal call2012
6446,6446,"[9648, 18]",139255,en,Abducted: The Carlina White Story,1.2429999999999999,2012-10-06,Abducted: The Carlina White Story,7.3,15,abducted the carlina white story,2012,abducted the carlina white story2012
6447,6447,[99],114887,en,The Dream Team,1.242,2012-06-13,The Dream Team,8.1,18,the dream team,2012,the dream team2012
6448,6448,"[878, 27]",273805,en,The Zombinator,1.24,2012-09-15,The Zombinator,1.7,3,the zombinator,2012,the zombinator2012
6449,6449,[27],128484,en,Boogeyman,1.239,2012-08-11,Boogeyman,5.6,15,boogeyman,2012,boogeyman2012
6450,6450,[99],84172,en,The Ambassador,1.238,2012-08-29,The Ambassador,6.6,25,the ambassador,2012,the ambassador2012
6452,6452,"[18, 53]",115340,en,Hiding,1.236,2012-06-26,Hiding,5.0,3,hiding,2012,hiding2012
6453,6453,"[99, 18]",106344,en,Waiting for Lightning,1.2329999999999999,2012-12-07,Waiting for Lightning,5.3,4,waiting for lightning,2012,waiting for lightning2012
6454,6454,[18],210518,en,Serena,1.2329999999999999,2012-05-22,Serena,5.0,4,serena,2012,serena2012
6455,6455,"[53, 18, 9648]",127848,no,Uskyld,1.2309999999999999,2012-11-11,All That Matters Is Past,5.4,9,all that matters is past,2012,all that matters is past2012
6456,6456,"[99, 36]",102041,en,Titanic: The Final Word,1.228,2012-04-08,Titanic: The Final Word,6.6,7,titanic the final word,2012,titanic the final word2012
6457,6457,[99],84778,en,Going Cardboard: A Board Game Documentary,1.215,2012-02-11,Going Cardboard: A Board Game Documentary,5.9,4,going cardboard a board game documentary,2012,going cardboard a board game documentary2012
6458,6458,"[99, 10402, 10749]",80387,en,Carol Channing: Larger Than Life,1.213,2012-01-20,Carol Channing: Larger Than Life,8.0,2,carol channing larger than life,2012,carol channing larger than life2012
6459,6459,"[35, 28, 12]",103609,en,Bindlestiffs,1.208,2012-01-22,Bindlestiffs,4.1,8,bindlestiffs,2012,bindlestiffs2012
6460,6460,[10751],23738,en,Quantum Quest: A Cassini Space Odyssey,1.207,2012-12-02,Quantum Quest: A Cassini Space Odyssey,0.5,1,quantum quest a cassini space odyssey,2012,quantum quest a cassini space odyssey2012
6462,6462,[99],84310,en,Me @ the Zoo,1.206,2012-06-25,Me @ the Zoo,5.0,2,me  the zoo,2012,me  the zoo2012
6463,6463,"[27, 53]",67903,en,Ubaldo Terzani Horror Show,1.206,2011-06-05,Ubaldo Terzani Horror Show,4.6,8,ubaldo terzani horror show,2011,ubaldo terzani horror show2011
6464,6464,"[18, 28]",57509,en,Changing the Game,1.202,2012-12-31,Changing the Game,3.0,2,changing the game,2012,changing the game2012
6466,6466,"[10752, 18]",133206,en,War Flowers,1.2009999999999998,2012-08-31,War Flowers,5.3,3,war flowers,2012,war flowers2012
6467,6467,[53],197613,en,Into The Woods,1.2009999999999998,2012-02-15,Into The Woods,2.7,3,into the woods,2012,into the woods2012
6468,6468,"[28, 878]",114587,en,1313: Hercules Unbound!,1.2009999999999998,2012-07-01,1313: Hercules Unbound!,1.3,3,1313 hercules unbound,2012,1313 hercules unbound2012
6469,6469,[27],231783,en,Scream Park,1.197,2012-10-31,Scream Park,4.0,10,scream park,2012,scream park2012
6470,6470,"[18, 9648, 53]",136231,es,Cyberstalker,1.195,2012-09-14,Cyberstalker,4.4,8,cyberstalker,2012,cyberstalker2012
6471,6471,[99],310142,en,Secrets of Shaolin with Jason Scott Lee,1.192,2012-10-11,Secrets of Shaolin with Jason Scott Lee,7.3,2,secrets of shaolin with jason scott lee,2012,secrets of shaolin with jason scott lee2012
6472,6472,[18],180960,ru,Небесные жены луговых мари,1.189,2012-12-20,Celestial Wives of the Meadow Mari,7.1,6,celestial wives of the meadow mari,2012,celestial wives of the meadow mari2012
6474,6474,"[18, 28]",112456,en,Hardflip,1.186,2012-06-01,Hardflip,5.0,7,hardflip,2012,hardflip2012
6475,6475,"[18, 10749, 878]",184440,en,Awaken,1.177,2013-04-09,Awaken,6.6,9,awaken,2013,awaken2013
6476,6476,[99],134602,en,Half the Sky: Turning Oppression Into Opportunity for Women Worldwide,1.176,2012-10-03,Half the Sky: Turning Oppression Into Opportunity for Women Worldwide,7.0,1,half the sky turning oppression into opportunity for women worldwide,2012,half the sky turning oppression into opportunity for women worldwide2012
6477,6477,"[12, 10751]",151474,de,Die Abenteuer des Huck Finn,1.176,2012-12-30,The Adventures of Huckleberry Finn,6.0,2,the adventures of huckleberry finn,2012,the adventures of huckleberry finn2012
6478,6478,"[35, 18, 10751]",93449,en,God's Country,1.176,2012-02-24,God's Country,5.6,4,gods country,2012,gods country2012
6479,6479,[18],103502,fr,Nuit #1,1.175,2012-08-10,Night #1,5.8,7,night 1,2012,night 12012
6480,6480,[99],113455,en,設計與思考,1.173,2012-04-28,Design & Thinking,6.5,1,design  thinking,2012,design  thinking2012
6481,6481,[99],148777,en,In Vogue: The Editor's Eye,1.169,2012-12-06,In Vogue: The Editor's Eye,7.3,9,in vogue the editors eye,2012,in vogue the editors eye2012
6483,6483,"[18, 10749]",208556,de,Prora,1.167,2012-09-28,Prora,6.4,9,prora,2012,prora2012
6484,6484,[99],375793,en,Demi Lovato: Stay Strong,1.165,2012-03-06,Demi Lovato: Stay Strong,8.8,15,demi lovato stay strong,2012,demi lovato stay strong2012
6485,6485,[99],140481,en,"Park Avenue: Money, Power & The American Dream",1.165,2012-01-01,"Park Avenue: Money, Power & The American Dream",6.8,17,park avenue money power  the american dream,2012,park avenue money power  the american dream2012
