,Unnamed: 0,Genre_Ids,Id,Original_Language,Original_Title,Popularity,Release_Date,Title,Vote_Average,Vote_Count,Clean Title,Year,Link
35,35,"[35, 10749]",34806,en,The Back-Up Plan,15.49,2010-04-23,The Back-Up Plan,6.0,806,the backup plan,2010,the backup plan2010
36,36,"[28, 12, 18]",20662,en,Robin Hood,15.444,2010-05-14,Robin Hood,6.3,2569,robin hood,2010,robin hood2010
37,37,"[35, 14, 10751]",35019,en,Nanny McPhee and the Big Bang,15.213,2010-08-20,Nanny McPhee and the Big Bang,6.1,953,nanny mcphee and the big bang,2010,nanny mcphee and the big bang2010
38,38,"[35, 12, 14, 16, 10751]",10192,en,Shrek Forever After,15.040999999999999,2010-05-16,Shrek Forever After,6.1,3843,shrek forever after,2010,shrek forever after2010
39,39,[35],37735,en,Easy A,14.69,2010-09-17,Easy A,6.8,4168,easy a,2010,easy a2010
40,40,"[14, 12, 28, 35, 18]",27022,en,The Sorcerer's Apprentice,14.463,2010-07-13,The Sorcerer's Apprentice,5.9,2879,the sorcerers apprentice,2010,the sorcerers apprentice2010
41,41,"[28, 35, 10749]",22538,en,Scott Pilgrim vs. the World,14.383,2010-08-13,Scott Pilgrim vs. the World,7.3,3882,scott pilgrim vs the world,2010,scott pilgrim vs the world2010
42,42,[35],38365,en,Grown Ups,14.290999999999999,2010-06-24,Grown Ups,6.1,3171,grown ups,2010,grown ups2010
43,43,"[35, 10749]",239,en,Some Like It Hot,14.2,1959-03-18,Some Like It Hot,8.2,1562,some like it hot,1959,some like it hot1959
44,44,"[80, 18, 28, 53]",41283,en,Faster,14.172,2010-11-23,Faster,6.2,895,faster,2010,faster2010
45,45,[27],7978,en,The Wolfman,14.03,2010-02-12,The Wolfman,5.7,1009,the wolfman,2010,the wolfman2010
46,46,"[28, 53]",44048,en,Unstoppable,14.01,2010-11-12,Unstoppable,6.4,1913,unstoppable,2010,unstoppable2010
47,47,"[18, 53]",44214,en,Black Swan,13.745,2010-12-03,Black Swan,7.6,8374,black swan,2010,black swan2010
48,48,"[16, 12, 10751, 14]",44683,en,Tinker Bell and the Great Fairy Rescue,13.724,2010-09-21,Tinker Bell and the Great Fairy Rescue,6.5,451,tinker bell and the great fairy rescue,2010,tinker bell and the great fairy rescue2010
49,49,"[10749, 18]",61979,es,Tres metros sobre el cielo,13.720999999999998,2010-12-20,Three Steps Above Heaven,7.5,960,three steps above heaven,2010,three steps above heaven2010
50,50,"[12, 28, 18]",23759,en,Centurion,13.548,2010-02-15,Centurion,6.1,673,centurion,2010,centurion2010
51,51,"[28, 35, 80]",27581,en,The Other Guys,13.508,2010-08-06,The Other Guys,6.2,2187,the other guys,2010,the other guys2010
52,52,"[80, 18, 53]",23168,en,The Town,13.475999999999999,2010-09-17,The Town,7.1,2386,the town,2010,the town2010
53,53,"[28, 37, 18, 14, 53]",20533,en,Jonah Hex,13.467,2010-06-18,Jonah Hex,4.6,708,jonah hex,2010,jonah hex2010
54,54,"[12, 28, 878]",20526,en,TRON: Legacy,13.459000000000001,2010-12-10,TRON: Legacy,6.3,4387,tron legacy,2010,tron legacy2010
55,55,"[12, 14, 28, 10749]",9543,en,Prince of Persia: The Sands of Time,13.44,2010-05-27,Prince of Persia: The Sands of Time,6.2,4040,prince of persia the sands of time,2010,prince of persia the sands of time2010
