,Unnamed: 0_x,tconst,primary_title,original_title,start_year,runtime_minutes,genres,Action,Crime,Drama,Biography,Comedy,Fantasy,Horror,Thriller,Adventure,Animation,Documentary,History,Mystery,Science Fiction,Romance,Family,War,Music,Sport,Western,Musical,Adult,News,Link,start_year_str,Unnamed: 0_y,Title,Studio,Domestic Gross,Foreign Gross,Year,Clean Title
11,81,tt0409847,Cowboys & Aliens,Cowboys & Aliens,2011,119.0,"Action,Sci-Fi,Thriller",True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,cowboys  aliens2011,2011,368,Cowboys & Aliens,Uni.,100200000.0,74600000,2011,cowboys  aliens
12,86,tt0420293,The Stanford Prison Experiment,The Stanford Prison Experiment,2015,122.0,"Biography,Drama,History",False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,the stanford prison experiment2015,2015,2123,The Stanford Prison Experiment,IFC,661000.0,,2015,the stanford prison experiment
13,92,tt0427152,Dinner for Schmucks,Dinner for Schmucks,2010,114.0,Comedy,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,dinner for schmucks2010,2010,71,Dinner for Schmucks,P/DW,73000000.0,13800000,2010,dinner for schmucks
14,95,tt0429493,The A-Team,The A-Team,2010,117.0,"Action,Adventure,Thriller",True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,the ateam2010,2010,40,The A-Team,Fox,77200000.0,100000000,2010,the ateam
15,97,tt0431021,The Possession,The Possession,2012,92.0,"Horror,Mystery,Thriller",False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,the possession2012,2012,801,The Possession,LGF,49100000.0,36300000,2012,the possession
16,99,tt0433035,Real Steel,Real Steel,2011,127.0,"Action,Drama,Family",True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,real steel2011,2011,347,Real Steel,BV,85500000.0,213800000,2011,real steel
17,103,tt0435651,The Giver,The Giver,2014,97.0,"Drama,Romance,Sci-Fi",False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,the giver2014,2014,1567,The Giver,Wein.,45100000.0,21900000,2014,the giver
18,104,tt0435761,Toy Story 3,Toy Story 3,2010,103.0,"Adventure,Animation,Comedy",False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,toy story 32010,2010,0,Toy Story 3,BV,415000000.0,652000000,2010,toy story 3
19,115,tt0443272,Lincoln,Lincoln,2012,150.0,"Biography,Drama,History",False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,lincoln2012,2012,757,Lincoln,BV,182200000.0,93100000,2012,lincoln
20,121,tt0446029,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,2010,112.0,"Action,Comedy,Fantasy",True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,scott pilgrim vs the world2010,2010,109,Scott Pilgrim vs. the World,Uni.,31500000.0,16100000,2010,scott pilgrim vs the world
21,126,tt0448694,Puss in Boots,Puss in Boots,2011,90.0,"Action,Adventure,Animation",True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,puss in boots2011,2011,338,Puss in Boots,P/DW,149300000.0,405700000,2011,puss in boots
